epoch,training_time,lr,train_loss,test_loss,f1_value,val_acc,precision,recall
1_fold|epoch_0_2022-12-01 11:32:12,15.63s,0.00100000,0.2239,0.0933,0.9676,0.9676,0.9676,0.9676
1_fold|epoch_1_2022-12-01 11:32:33,16.11s,0.00100000,0.1154,0.0855,0.9766,0.9766,0.9766,0.9766
1_fold|epoch_2_2022-12-01 11:32:54,15.65s,0.00100000,0.0972,0.0872,0.9676,0.9676,0.9676,0.9676
1_fold|epoch_3_2022-12-01 11:33:14,15.14s,0.00100000,0.0796,0.0988,0.9732,0.9732,0.9732,0.9732
1_fold|epoch_4_2022-12-01 11:33:33,14.73s,0.00100000,0.0687,0.0969,0.9699,0.9699,0.9699,0.9699
1_fold|epoch_5_2022-12-01 11:33:52,14.38s,0.00100000,0.0805,0.1037,0.9632,0.9632,0.9632,0.9632
1_fold|epoch_6_2022-12-01 11:34:12,14.67s,0.00100000,0.0643,0.1270,0.9632,0.9632,0.9632,0.9632
1_fold|epoch_7_2022-12-01 11:34:31,14.61s,0.00100000,0.0648,0.0668,0.9754,0.9754,0.9754,0.9754
1_fold|epoch_8_2022-12-01 11:34:51,14.76s,0.00100000,0.0526,0.0894,0.9710,0.9710,0.9710,0.9710
1_fold|epoch_9_2022-12-01 11:35:10,14.60s,0.00100000,0.0583,0.0809,0.9732,0.9732,0.9732,0.9732
1_fold|epoch_10_2022-12-01 11:35:29,14.53s,0.00010000,0.0485,0.0867,0.9766,0.9766,0.9766,0.9766
1_fold|epoch_11_2022-12-01 11:35:48,14.42s,0.00010000,0.0270,0.0595,0.9833,0.9833,0.9833,0.9833
1_fold|epoch_12_2022-12-01 11:36:08,14.69s,0.00010000,0.0130,0.0625,0.9844,0.9844,0.9844,0.9844
1_fold|epoch_13_2022-12-01 11:36:28,14.75s,0.00010000,0.0116,0.0543,0.9866,0.9866,0.9866,0.9866
1_fold|epoch_14_2022-12-01 11:36:47,14.46s,0.00010000,0.0082,0.0573,0.9844,0.9844,0.9844,0.9844
1_fold|epoch_15_2022-12-01 11:37:06,14.62s,0.00010000,0.0091,0.0598,0.9833,0.9833,0.9833,0.9833
1_fold|epoch_16_2022-12-01 11:37:25,14.68s,0.00010000,0.0061,0.0641,0.9844,0.9844,0.9844,0.9844
1_fold|epoch_17_2022-12-01 11:37:45,14.53s,0.00010000,0.0058,0.0794,0.9799,0.9799,0.9799,0.9799
1_fold|epoch_18_2022-12-01 11:38:04,14.55s,0.00010000,0.0049,0.0776,0.9788,0.9788,0.9788,0.9788
1_fold|epoch_19_2022-12-01 11:38:23,14.67s,0.00010000,0.0054,0.0568,0.9844,0.9844,0.9844,0.9844
1_fold|epoch_20_2022-12-01 11:38:43,14.46s,0.00010000,0.0042,0.0727,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_21_2022-12-01 11:39:02,14.58s,0.00010000,0.0057,0.1268,0.9587,0.9587,0.9587,0.9587
1_fold|epoch_22_2022-12-01 11:39:21,14.77s,0.00010000,0.0066,0.0672,0.9833,0.9833,0.9833,0.9833
1_fold|epoch_23_2022-12-01 11:39:41,14.43s,0.00010000,0.0061,0.0673,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_24_2022-12-01 11:40:00,14.41s,0.00010000,0.0066,0.0683,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_25_2022-12-01 11:40:19,14.44s,0.00010000,0.0054,0.0866,0.9799,0.9799,0.9799,0.9799
1_fold|epoch_26_2022-12-01 11:40:39,14.97s,0.00010000,0.0053,0.0761,0.9766,0.9766,0.9766,0.9766
1_fold|epoch_27_2022-12-01 11:40:58,14.70s,0.00010000,0.0060,0.0620,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_28_2022-12-01 11:41:17,14.46s,0.00010000,0.0026,0.0676,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_29_2022-12-01 11:41:37,14.59s,0.00010000,0.0031,0.0803,0.9766,0.9766,0.9766,0.9766
1_fold|epoch_30_2022-12-01 11:41:57,15.11s,0.00010000,0.0045,0.0853,0.9799,0.9799,0.9799,0.9799
1_fold|epoch_31_2022-12-01 11:42:16,14.55s,0.00010000,0.0080,0.0905,0.9754,0.9754,0.9754,0.9754
1_fold|epoch_32_2022-12-01 11:42:35,14.42s,0.00010000,0.0074,0.0793,0.9710,0.9710,0.9710,0.9710
1_fold|epoch_33_2022-12-01 11:42:54,14.49s,0.00010000,0.0103,0.0743,0.9777,0.9777,0.9777,0.9777
1_fold|epoch_34_2022-12-01 11:43:13,14.40s,0.00010000,0.0103,0.0737,0.9799,0.9799,0.9799,0.9799
1_fold|epoch_35_2022-12-01 11:43:33,14.48s,0.00010000,0.0069,0.0671,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_36_2022-12-01 11:43:52,14.60s,0.00010000,0.0038,0.0689,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_37_2022-12-01 11:44:11,14.54s,0.00010000,0.0023,0.0743,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_38_2022-12-01 11:44:30,14.54s,0.00010000,0.0022,0.0603,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_39_2022-12-01 11:44:50,14.33s,0.00010000,0.0021,0.0635,0.9799,0.9799,0.9799,0.9799
1_fold|epoch_40_2022-12-01 11:45:09,14.67s,0.00010000,0.0022,0.0670,0.9833,0.9833,0.9833,0.9833
1_fold|epoch_41_2022-12-01 11:45:28,14.52s,0.00010000,0.0022,0.0594,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_42_2022-12-01 11:45:47,14.56s,0.00010000,0.0024,0.0584,0.9833,0.9833,0.9833,0.9833
1_fold|epoch_43_2022-12-01 11:46:07,14.46s,0.00010000,0.0023,0.0736,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_44_2022-12-01 11:46:26,14.64s,0.00010000,0.0058,0.1234,0.9609,0.9609,0.9609,0.9609
1_fold|epoch_45_2022-12-01 11:46:45,14.45s,0.00010000,0.0239,0.0858,0.9777,0.9777,0.9777,0.9777
1_fold|epoch_46_2022-12-01 11:47:04,14.36s,0.00010000,0.0124,0.0867,0.9754,0.9754,0.9754,0.9754
1_fold|epoch_47_2022-12-01 11:47:23,14.45s,0.00010000,0.0079,0.0565,0.9833,0.9833,0.9833,0.9833
1_fold|epoch_48_2022-12-01 11:47:42,14.47s,0.00010000,0.0041,0.0749,0.9788,0.9788,0.9788,0.9788
1_fold|epoch_49_2022-12-01 11:48:02,14.58s,0.00010000,0.0026,0.0680,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_50_2022-12-01 11:48:21,14.60s,0.00001000,0.0050,0.0819,0.9788,0.9788,0.9788,0.9788
1_fold|epoch_51_2022-12-01 11:48:40,14.50s,0.00001000,0.0027,0.0734,0.9788,0.9788,0.9788,0.9788
1_fold|epoch_52_2022-12-01 11:49:00,14.74s,0.00001000,0.0024,0.0739,0.9777,0.9777,0.9777,0.9777
1_fold|epoch_53_2022-12-01 11:49:19,14.71s,0.00001000,0.0024,0.0752,0.9777,0.9777,0.9777,0.9777
1_fold|epoch_54_2022-12-01 11:49:39,14.50s,0.00001000,0.0020,0.0702,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_55_2022-12-01 11:49:58,14.55s,0.00001000,0.0020,0.0692,0.9799,0.9799,0.9799,0.9799
