epoch,training_time,lr,train_loss,test_loss,f1_value,val_acc,precision,recall
1_fold|epoch_1_2022-12-06 11:11:08,17.25s,0.00100000,0.2098,0.1297,0.9509,0.9509,0.9509,0.9509
1_fold|epoch_2_2022-12-06 11:11:29,15.73s,0.00100000,0.1156,0.0812,0.9676,0.9676,0.9676,0.9676
1_fold|epoch_3_2022-12-06 11:11:51,15.93s,0.00100000,0.0897,0.0795,0.9866,0.9866,0.9866,0.9866
1_fold|epoch_4_2022-12-06 11:12:12,15.93s,0.00100000,0.0891,0.0752,0.9743,0.9743,0.9743,0.9743
1_fold|epoch_5_2022-12-06 11:12:34,16.25s,0.00100000,0.0663,0.1266,0.9665,0.9665,0.9665,0.9665
1_fold|epoch_6_2022-12-06 11:12:55,15.71s,0.00100000,0.0552,0.0918,0.9743,0.9743,0.9743,0.9743
1_fold|epoch_7_2022-12-06 11:13:16,15.60s,0.00100000,0.0496,0.0658,0.9799,0.9799,0.9799,0.9799
1_fold|epoch_8_2022-12-06 11:13:37,16.19s,0.00100000,0.0390,0.2336,0.9509,0.9509,0.9509,0.9509
1_fold|epoch_9_2022-12-06 11:13:59,16.52s,0.00100000,0.0439,0.0717,0.9777,0.9777,0.9777,0.9777
1_fold|epoch_10_2022-12-06 11:14:21,15.82s,0.00010000,0.0317,0.1564,0.9688,0.9688,0.9688,0.9688
1_fold|epoch_11_2022-12-06 11:14:43,16.12s,0.00010000,0.0166,0.0768,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_12_2022-12-06 11:15:11,23.02s,0.00010000,0.0087,0.0733,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_13_2022-12-06 11:15:37,20.27s,0.00010000,0.0078,0.0750,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_14_2022-12-06 11:15:59,16.91s,0.00010000,0.0049,0.0775,0.9810,0.9810,0.9810,0.9810
1_fold|epoch_15_2022-12-06 11:16:27,22.47s,0.00010000,0.0036,0.0759,0.9821,0.9821,0.9821,0.9821
1_fold|epoch_16_2022-12-06 11:16:56,23.23s,0.00010000,0.0032,0.0762,0.9821,0.9821,0.9821,0.9821
